gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role,log10_BS,log10_BF
Cat,2,101,3.5360723383074744,0.9314229797375604,0.0900047463680462,920.078115527987,2.249579744567205,409,70,3.840073500644249e-17,2.7720772594232392,1.023547074580977,10.348598460894468,36.59339275782023,,,,,stable_K2,0.5485211409016747,-0.03085305151161273
Cav1,2,303,9.334833658052451,1.4763723475078605,0.1217343645374999,1508.1925924738882,3.651798044730964,413,151,3.106799864965316e-16,2.777697630751873,1.681008897416775,12.127819068321235,113.2111736377354,,,,,stable_K2,0.9701065834491488,0.16919590225295184
Cbfb,2,303,2.9152277291723645,1.0228478718011644,0.0756159082972249,871.3461042886363,2.275055102581296,383,70,2.2482243145898993e-18,2.777697630751873,1.106518254675946,13.526887328796416,39.433957030297606,,,,,stable_K2,0.4646724862510792,0.009811045882020301
Cbx5,2,303,4.939065124932379,0.7535643221279225,0.0634079501114675,974.44105028767,2.49856679560941,390,73,5.417861615493978e-12,2.777697630751873,0.804581164464942,11.88438233381144,58.69773831629056,,,,,stable_K2,0.6936447526673789,-0.12287967161348808
Ccdc109b,2,303,5.970907755800939,0.5146702428387753,0.0553526913649768,931.3341612129178,2.277100638662391,409,85,1.0771316957008599e-14,2.777697630751873,0.5448279353936369,9.298016594084183,55.51759939518309,,,,,stable_K2,0.7760403618439655,-0.28847094102612925
Ccdc50,2,101,1.9913830458521091,1.2783139747325765,0.0977283086157769,818.9432976190017,1.982913553556905,413,70,2.1599550933856506e-18,2.7720772594232392,1.4167727824547471,13.080283418782193,26.047854635103324,,,,,stable_K2,0.29915480533105543,0.10663753672272026
Ccdc55,2,303,3.502371116081261,0.7738160916719673,0.0713174059044794,879.635838399072,2.188148851738985,402,70,4.1980786841902047e-17,2.777697630751873,0.8332406535794034,10.850311811795224,38.00181869010693,,,,,stable_K2,0.5443621626288789,-0.11136224327376125
Ccdc80,2,101,14.51624988547962,1.35935015207079,0.0850569975312056,1627.0824059041615,3.9396668423829575,413,207,1.7543129475514018e-11,2.7720772594232392,1.4857211306090654,15.981638095937647,231.9934521799316,,,,,stable_K2,1.1618544356204743,0.13333134012095058
Ccl2,2,101,58.94487450178668,0.6312247580393142,0.1092793198872974,1958.86491896024,4.743014331622858,413,574,-1.0032424191298154e-17,2.7720772594232392,0.7086674556152055,5.776250791918474,340.4803780204804,,,,,stable_K2,1.7704460473892574,-0.19981597546880406
Ccl8,2,101,44.54498475840445,0.2716301116676921,0.06384344103894,1170.6929256400128,2.8484012789294715,411,250,2.5951490233854094e-13,2.7720772594232392,0.2901545783849928,4.25462831024438,189.522353232512,,,,,stable_K2,1.6487988146723431,-0.5660220878295097
Ccm2,2,303,1.777257081893605,1.264447841110597,0.0799758782038482,790.1794058986524,1.9225776299237285,411,70,-3.912182629191744e-18,2.777697630751873,1.3743637923775642,15.810365193961132,28.09908350829159,,,,,stable_K2,0.24975025345094962,0.10190091925966338
Ccnd1,2,303,10.13877332169966,0.516938089882564,0.0543565306323504,1065.8357935414424,2.580716207122137,413,90,2.707130472266949e-08,2.777697630751873,0.5466522073358575,9.510137675617331,96.42113015123984,,,,,stable_K2,1.005985413395406,-0.28656146625298395
Ccnd3,2,101,2.9489845528452454,1.13908676617857,0.0842593167616341,925.984272719404,2.2751456332172086,407,70,3.215456934633e-17,2.7720772594232392,1.2438966478483595,13.518822724387809,39.86679938687292,,,,,stable_K2,0.4696724976682303,0.05655680628926587
Ccne1,2,202,14.271048557000416,0.4772957662053826,0.0652605413145485,1188.9234166112565,2.950182175214036,403,122,2.1682501639407612e-10,2.772897381189308,0.5106190412423759,7.313696095545246,104.37411211067057,,,,,stable_K2,1.1544558838216792,-0.32121241797357347
Ccng1,2,101,9.548426882403426,1.660041350184043,0.0937777941808939,1533.0057748857105,3.7118783895537777,413,179,4.395143953938256e-15,2.7720772594232392,1.831825946798096,17.701859642613083,169.02491248005907,,,,,stable_K2,0.9799318268123022,0.22011890607203863
Cct6a,2,202,4.574463824465663,1.573134093967102,0.0933387170885222,1236.4153636173176,2.9937418005261924,413,78,6.8026688037804e-11,2.772897381189308,1.7350846712186072,16.854035956752487,77.09817778040777,,,,,stable_K2,0.660340197479609,0.19676574346744974
Cd164,2,202,4.3484414465114325,1.9661255417703607,0.0999943512051624,1241.1787367739207,3.0052753917044086,413,92,3.81625595702456e-13,2.772897381189308,2.184570223979286,19.662366104425058,85.50064770496346,,,,,stable_K2,0.6383336265026209,0.29361124511229
Cd44,2,303,19.185014327709524,1.209576406601717,0.1258605653975092,1661.5468887899845,4.023115953486645,413,238,1.7924700760102431e-16,2.777697630751873,1.38373394303137,9.610447901465209,184.37658068531596,,,,,stable_K2,1.2829621278732906,0.0826333071066895
Cd81,2,101,19.84749501557669,2.0928298724504666,0.1483194116498102,1804.3861089324305,4.368973629376345,413,303,5.484295246020834e-15,2.7720772594232392,2.4572943202856554,14.110289740035824,280.05390528370395,,,,,stable_K2,1.2977057015493971,0.3207339256826903
Cdc16,2,101,3.4112839040045677,1.7981134625088635,0.1048462203003821,1110.4810363106117,2.6888160685486966,413,81,1.311760649168649e-15,2.7720772594232392,2.0087201811427837,17.150007481026098,58.50354447358224,,,,,stable_K2,0.5329178650572647,0.25481709261789187
Cdc42,2,101,6.571260307132241,2.0929594889570797,0.1082058939899955,1441.0808851282252,3.48929996399086,413,133,5.969408264007331e-14,2.7720772594232392,2.3469088602987465,19.34237971501432,127.10381206675342,,,,,stable_K2,0.8176486712252103,0.32076082227434527
Cdc42bpa,2,303,3.3475140208872176,0.7992105485072223,0.062450852614167,854.8539301447165,2.1371348253617914,400,74,1.806875863353994e-17,2.777697630751873,0.852446563186218,12.7974321414776,42.839583524949,,,,,stable_K2,0.524722404707556,-0.09733879263962385
Cdipt,2,101,3.077136582679272,1.2981973968057456,0.0837925347057563,1027.1268840426003,2.4869900340014537,413,70,2.300678048174487e-15,2.7720772594232392,1.4169251463027803,15.49299590189582,47.67406446502366,,,,,stable_K2,0.4881467733964603,0.11334073393234614
Cdk1,2,303,18.657860296209176,0.3143804849850518,0.0518129033168687,979.574809963354,2.4068177148976755,407,127,3.1456746342969747e-09,2.777697630751873,0.3315595477778502,6.067609897527184,113.20861779995828,,,,,stable_K2,1.2708618369007496,-0.5025444204136403
Cdk5rap3,2,101,4.305950567539362,0.5979272699112403,0.067545209656788,820.2301538110744,2.1415930908905336,383,70,5.887579447033995e-16,2.7720772594232392,0.6412399572650157,8.85225277927835,38.11736287893551,,,,,stable_K2,0.6340690398004946,-0.22335163908377806
Cdk7,2,303,4.531999415746483,1.0934940375825994,0.0857003720879915,1066.412963550325,2.6201792716224204,407,89,1.3787030778524686e-16,2.777697630751873,1.1959909029820108,12.759501632733537,57.82605394476468,,,,,stable_K2,0.6562898452032541,0.038816419333385636
Cdkn2b,2,202,14.02244818225298,0.6612036194225982,0.0710582444337269,1314.827799772857,3.222617156306021,408,133,1.087998138494219e-09,2.772897381189308,0.7117815680699329,9.30509365509692,130.48019360960754,,,,,stable_K2,1.1468238438177158,-0.17966477777003992
Cfl2,2,202,2.9352514595093147,1.578720208174321,0.0922558888769245,1023.4755832457278,2.49020823174143,411,70,5.296065116843871e-15,2.772897381189308,1.7391687688517232,17.112405802955717,50.22921410884143,,,,,stable_K2,0.467645312670293,0.19830516812549193
Chmp2b,2,202,3.549006241815562,0.821731301851815,0.0713653708441982,925.494109837002,2.251810486221416,411,81,-1.0923955684865113e-18,2.772897381189308,0.884881175063254,11.514426284504047,40.86477075463005,,,,,stable_K2,0.5501067631637866,-0.08527016932113833
